,time_period,time_identifier,version,geographic_level,methodology_level,country_code,country_name,characteristic_group,characteristic,characteristic_gender,table,school_type,school_admission_type,school_religious_denomination,subject,qualification_type,subject_entry,Total_achieving_A*-G/9-1,Total_achieving_A*-C/9-4,Total_achieving_A-B,Total_achieving_A-E,Total_achieving_level_1_pass,Total_achieving_level_2_pass
16,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any design & technology,GCSE and equivalent,38519,38202,28860,0,0,0,0
17,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any design & technology,GCSE and equivalent,76360,74705,42087,0,0,0,0
18,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any design & technology,GCSE and equivalent,114879,112907,70947,0,0,0,0
19,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any English,GCSE,267222,265447,225161,0,0,0,0
20,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any English,GCSE,272299,267598,192458,0,0,0,0
21,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any English,GCSE,539521,533045,417619,0,0,0,0
22,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any English,GCSE and equivalent,267222,265447,225161,0,0,0,0
23,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any English,GCSE and equivalent,272299,267598,192458,0,0,0,0
24,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any English,GCSE and equivalent,539521,533045,417619,0,0,0,0
25,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any mathematics,GCSE,263657,258368,188697,0,0,0,0
26,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any mathematics,GCSE,271425,264446,190144,0,0,0,0
27,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any mathematics,GCSE,535082,522814,378841,0,0,0,0
28,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any mathematics,GCSE and equivalent,263657,258368,188697,0,0,0,0
29,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any mathematics,GCSE and equivalent,271425,264446,190144,0,0,0,0
30,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any mathematics,GCSE and equivalent,535082,522814,378841,0,0,0,0
31,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any modern language,GCSE,146123,144603,110827,0,0,0,0
32,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any modern language,GCSE,113045,111178,74683,0,0,0,0
33,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any modern language,GCSE,259168,255781,185510,0,0,0,0
34,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any modern language,GCSE and equivalent,146189,144669,110894,0,0,0,0
35,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any modern language,GCSE and equivalent,113112,111245,74750,0,0,0,0
36,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any modern language,GCSE and equivalent,259301,255914,185644,0,0,0,0
37,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any modern language,GCSE Equivalent,84,84,84,0,0,0,0
38,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any modern language,GCSE Equivalent,83,83,82,0,0,0,0
39,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any modern language,GCSE Equivalent,167,167,166,0,0,0,0
40,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any other subject,GCSE,8188,7959,5802,0,0,0,0
41,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any other subject,GCSE,6859,6467,3808,0,0,0,0
42,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any other subject,GCSE,15047,14426,9610,0,0,0,0
43,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any other subject,GCSE and equivalent,10482,10037,7337,0,0,0,0
44,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any other subject,GCSE and equivalent,9631,8838,5325,0,0,0,0
45,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any other subject,GCSE and equivalent,20113,18875,12662,0,0,0,0
46,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any other subject,GCSE Equivalent,2346,2117,1558,0,0,0,0
47,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any other subject,GCSE Equivalent,2870,2450,1567,0,0,0,0
48,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any other subject,GCSE Equivalent,5216,4567,3125,0,0,0,0
49,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any science,GCSE,263876,260674,180290,0,0,0,0
50,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any science,GCSE,269076,263870,173148,0,0,0,0
51,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any science,GCSE,532952,524544,353438,0,0,0,0
52,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Any science,GCSE and equivalent,263876,260674,180290,0,0,0,0
53,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Any science,GCSE and equivalent,269076,263870,173148,0,0,0,0
54,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Any science,GCSE and equivalent,532952,524544,353438,0,0,0,0
